transcript_id,protein_id,gene_id
XM_031515503.1,XP_031371363.1,LOC116215844
XM_031515504.1,XP_031371364.1,LOC116186947
XM_031515505.1,XP_031371365.1,LOC116186948
XM_031515506.1,XP_031371366.1,LOC116186949
XM_031515507.1,XP_031371367.1,LOC116186949
XM_031515508.1,XP_031371368.1,LOC116186946
XM_031515509.1,XP_031371369.1,LOC116186950
XM_031515510.1,XP_031371370.1,LOC116186951
XM_031515511.1,XP_031371371.1,LOC116186952
XM_031515512.1,XP_031371372.1,LOC116186954
XM_031515513.1,XP_031371373.1,LOC116186954
XM_031515514.1,XP_031371374.1,LOC116186955
XM_031515515.1,XP_031371375.1,LOC116186956
XM_031515516.1,XP_031371376.1,LOC116186956
XM_031515517.1,XP_031371377.1,LOC116186956
XM_031515518.1,XP_031371378.1,LOC116186956
XM_031515519.1,XP_031371379.1,LOC116186959
XM_031515520.1,XP_031371380.1,LOC116186960
XM_031515521.1,XP_031371381.1,LOC116186960
XM_031515522.1,XP_031371382.1,LOC116186958
XM_031515523.1,XP_031371383.1,LOC116186961
XM_031515524.1,XP_031371384.1,LOC116186962
XM_031515525.1,XP_031371385.1,LOC116186963
XM_031515526.1,XP_031371386.1,LOC116186964
XM_031515527.1,XP_031371387.1,LOC116186965
XM_031515528.1,XP_031371388.1,LOC116186967
XM_031515529.1,XP_031371389.1,LOC116186967
XM_031515530.1,XP_031371390.1,LOC116186969
XM_031515531.1,XP_031371391.1,LOC116186971
XM_031515532.1,XP_031371392.1,LOC116186968
XM_031515533.1,XP_031371393.1,LOC116186971
XM_031515534.1,XP_031371394.1,LOC116186971
XM_031515535.1,XP_031371395.1,LOC116186972
XM_031515536.1,XP_031371396.1,LOC116186973
XM_031515537.1,XP_031371397.1,LOC116186975
XM_031515538.1,XP_031371398.1,LOC116186976
XM_031515539.1,XP_031371399.1,LOC116186976
XM_031515540.1,XP_031371400.1,LOC116186968
XM_031515541.1,XP_031371401.1,LOC116186978
XM_031515542.1,XP_031371402.1,LOC116186979
XM_031515543.1,XP_031371403.1,LOC116186980
XM_031515544.1,XP_031371404.1,LOC116186980
XM_031515545.1,XP_031371405.1,LOC116186981
XM_031515546.1,XP_031371406.1,LOC116186982
XM_031515547.1,XP_031371407.1,LOC116186968
XM_031515548.1,XP_031371408.1,LOC116186984
XM_031515549.1,XP_031371409.1,LOC116186985
XM_031515550.1,XP_031371410.1,LOC116186986
XM_031515551.1,XP_031371411.1,LOC116186987
XM_031515552.1,XP_031371412.1,LOC116186988
XM_031515553.1,XP_031371413.1,LOC116186989
XM_031515554.1,XP_031371414.1,LOC116186990
XM_031515555.1,XP_031371415.1,LOC116186968
XM_031515556.1,XP_031371416.1,LOC116186990
XM_031515557.1,XP_031371417.1,LOC116186990
XM_031515558.1,XP_031371418.1,LOC116186991
XM_031515559.1,XP_031371419.1,LOC116186991
XM_031515560.1,XP_031371420.1,LOC116186992
XM_031515561.1,XP_031371421.1,LOC116186992
XM_031515562.1,XP_031371422.1,LOC116186994
XM_031515563.1,XP_031371423.1,LOC116186994
XM_031515564.1,XP_031371424.1,LOC116186968
XM_031515565.1,XP_031371425.1,LOC116186994
XM_031515566.1,XP_031371426.1,LOC116186995
XM_031515567.1,XP_031371427.1,LOC116186998
XM_031515568.1,XP_031371428.1,LOC116186998
XM_031515569.1,XP_031371429.1,LOC116186999
XM_031515570.1,XP_031371430.1,LOC116187000
XM_031515571.1,XP_031371431.1,LOC116187004
XM_031515572.1,XP_031371432.1,LOC116187001
XM_031515573.1,XP_031371433.1,LOC116187004
XM_031515574.1,XP_031371434.1,LOC116187005
XM_031515575.1,XP_031371435.1,LOC116187006
XM_031515576.1,XP_031371436.1,LOC116186977
XM_031515577.1,XP_031371437.1,LOC116187007
XM_031515578.1,XP_031371438.1,LOC116187008
XM_031515579.1,XP_031371439.1,LOC116187001
XM_031515580.1,XP_031371440.1,LOC116187009
XM_031515581.1,XP_031371441.1,LOC116187009
XM_031515582.1,XP_031371442.1,LOC116187010
XM_031515583.1,XP_031371443.1,LOC116187011
XM_031515584.1,XP_031371444.1,LOC116187013
XM_031515585.1,XP_031371445.1,LOC116187014
XM_031515586.1,XP_031371446.1,LOC116187001
XM_031515587.1,XP_031371447.1,LOC116187015
XM_031515588.1,XP_031371448.1,LOC116187016
XM_031515589.1,XP_031371449.1,LOC116187017
XM_031515590.1,XP_031371450.1,LOC116187018
XM_031515591.1,XP_031371451.1,LOC116187019
XM_031515592.1,XP_031371452.1,LOC116187020
XM_031515593.1,XP_031371453.1,LOC116187020
XM_031515594.1,XP_031371454.1,LOC116187001
XM_031515595.1,XP_031371455.1,LOC116187021
XM_031515596.1,XP_031371456.1,LOC116187021
XM_031515597.1,XP_031371457.1,LOC116187021
XM_031515598.1,XP_031371458.1,LOC116187022
XM_031515599.1,XP_031371459.1,LOC116187024
XM_031515600.1,XP_031371460.1,LOC116187025
XM_031515601.1,XP_031371461.1,LOC116187026
XM_031515602.1,XP_031371462.1,LOC116187001
XM_031515603.1,XP_031371463.1,LOC116187027
XM_031515604.1,XP_031371464.1,LOC116187027
XM_031515605.1,XP_031371465.1,LOC116187027
XM_031515606.1,XP_031371466.1,LOC116187028
XM_031515607.1,XP_031371467.1,LOC116187028
XM_031515608.1,XP_031371468.1,LOC116187029
XM_031515609.1,XP_031371469.1,LOC116187030
XM_031515610.1,XP_031371470.1,LOC116187030
XM_031515611.1,XP_031371471.1,LOC116187032
XM_031515612.1,XP_031371472.1,LOC116187033
