transcript_id	description
XM_031515503.1	 uncharacterized LOC116215844
XM_031515504.1	 trihelix transcription factor PTL-like
XM_031515505.1	 protein trichome birefringence-like 33
XM_031515506.1	" cytosolic sulfotransferase 15-like, transcript variant X1"
XM_031515507.1	" cytosolic sulfotransferase 15-like, transcript variant X2"
XM_031515508.1	" probable 28S rRNA (cytosine-C(5))-methyltransferase, transcript variant X1"
XM_031515509.1	 uncharacterized LOC116186950
XM_031515510.1	 transcription factor MYBS1
XM_031515511.1	 GDSL esterase/lipase At1g74460-like
XM_031515512.1	" transcription factor PIF1, transcript variant X1"
XM_031515513.1	" transcription factor PIF1, transcript variant X2"
XM_031515514.1	 26S proteasome regulatory subunit 4 homolog A
XM_031515515.1	" zinc finger HIT domain-containing protein 3-like, transcript variant X1"
XM_031515516.1	" zinc finger HIT domain-containing protein 3-like, transcript variant X2"
XM_031515517.1	" zinc finger HIT domain-containing protein 3-like, transcript variant X3"
XM_031515518.1	" zinc finger HIT domain-containing protein 3-like, transcript variant X4"
XM_031515519.1	 chalcone synthase 3-like
XM_031515520.1	" nuclear pore complex protein NUP1-like, transcript variant X1"
XM_031515521.1	" nuclear pore complex protein NUP1-like, transcript variant X2"
XM_031515522.1	 17.3 kDa class II heat shock protein-like
XM_031515523.1	 putative pentatricopeptide repeat-containing protein At1g64310
XM_031515524.1	 histone deacetylase 6
XM_031515525.1	 myb-related protein Hv33-like
XM_031515526.1	 uncharacterized LOC116186964
XM_031515527.1	 60S ribosomal protein L27a-3-like
XM_031515528.1	" elongation factor Ts, mitochondrial, transcript variant X1"
XM_031515529.1	" elongation factor Ts, mitochondrial, transcript variant X2"
XM_031515530.1	 transmembrane 9 superfamily member 12-like
XM_031515531.1	" protein SMAX1-LIKE 7-like, transcript variant X1"
XM_031515532.1	" uncharacterized LOC116186968, transcript variant X1"
XM_031515533.1	" protein SMAX1-LIKE 7-like, transcript variant X2"
XM_031515534.1	" protein SMAX1-LIKE 7-like, transcript variant X3"
XM_031515535.1	 L-type lectin-domain containing receptor kinase S.6
XM_031515536.1	 uncharacterized LOC116186973
XM_031515537.1	 protein LURP-one-related 6-like
XM_031515538.1	" protein IQ-DOMAIN 1, transcript variant X1"
XM_031515539.1	" protein IQ-DOMAIN 1, transcript variant X2"
XM_031515540.1	" uncharacterized LOC116186968, transcript variant X2"
XM_031515541.1	 60S acidic ribosomal protein P3-like
XM_031515542.1	 chalcone synthase 3-like
XM_031515543.1	" HVA22-like protein e, transcript variant X1"
XM_031515544.1	" HVA22-like protein e, transcript variant X2"
XM_031515545.1	 microsomal glutathione S-transferase 3
XM_031515546.1	" malate synthase, glyoxysomal"
XM_031515547.1	" uncharacterized LOC116186968, transcript variant X3"
XM_031515548.1	 VQ motif-containing protein 4-like
XM_031515549.1	 60S ribosomal protein L35-like
XM_031515550.1	 MATH domain and coiled-coil domain-containing protein At2g05410-like
XM_031515551.1	 uncharacterized LOC116186987
XM_031515552.1	 protein Asterix
XM_031515553.1	 plant intracellular Ras-group-related LRR protein 6-like
XM_031515554.1	" uncharacterized LOC116186990, transcript variant X1"
XM_031515555.1	" uncharacterized LOC116186968, transcript variant X4"
XM_031515556.1	" uncharacterized LOC116186990, transcript variant X2"
XM_031515557.1	" uncharacterized LOC116186990, transcript variant X3"
XM_031515558.1	" uncharacterized LOC116186991, transcript variant X1"
XM_031515559.1	" uncharacterized LOC116186991, transcript variant X2"
XM_031515560.1	" protein SAR DEFICIENT 1-like, transcript variant X1"
XM_031515561.1	" protein SAR DEFICIENT 1-like, transcript variant X2"
XM_031515562.1	" kinesin-like protein KIN-14C, transcript variant X1"
XM_031515563.1	" kinesin-like protein KIN-14C, transcript variant X2"
XM_031515564.1	" uncharacterized LOC116186968, transcript variant X5"
XM_031515565.1	" kinesin-like protein KIN-14C, transcript variant X3"
XM_031515566.1	 GDSL esterase/lipase 1-like
XM_031515567.1	" aminopeptidase M1-like, transcript variant X1"
XM_031515568.1	" aminopeptidase M1-like, transcript variant X2"
XM_031515569.1	 aminopeptidase M1-like
XM_031515570.1	 probable protein phosphatase 2C 6
XM_031515571.1	" uncharacterized protein At4g33100, transcript variant X1"
XM_031515572.1	" E3 ubiquitin-protein ligase At1g63170, transcript variant X1"
XM_031515573.1	" uncharacterized protein At4g33100, transcript variant X2"
XM_031515574.1	 exosome complex component RRP42
XM_031515575.1	 putative disease resistance protein RGA3
XM_031515576.1	 probable protein phosphatase 2C 72
XM_031515577.1	 uncharacterized LOC116187007
XM_031515578.1	 caffeine synthase 1-like
XM_031515579.1	" E3 ubiquitin-protein ligase At1g63170, transcript variant X2"
XM_031515580.1	" chalcone--flavonone isomerase-like, transcript variant X1"
XM_031515581.1	" chalcone--flavonone isomerase-like, transcript variant X2"
XM_031515582.1	 uncharacterized LOC116187010
XM_031515583.1	 protein MIZU-KUSSEI 1
XM_031515584.1	 WRKY DNA-binding transcription factor 70-like
XM_031515585.1	 cyclin-dependent protein kinase inhibitor SMR1-like
XM_031515586.1	" E3 ubiquitin-protein ligase At1g63170, transcript variant X3"
XM_031515587.1	 uncharacterized LOC116187015
XM_031515588.1	 MATH domain and coiled-coil domain-containing protein At2g01790-like
XM_031515589.1	" carotenoid cleavage dioxygenase 8 homolog B, chloroplastic"
XM_031515590.1	" NAD(P)H-quinone oxidoreductase subunit U, chloroplastic"
XM_031515591.1	 UDP-glucosyltransferase 29-like
XM_031515592.1	" CLIP-associated protein, transcript variant X1"
XM_031515593.1	" CLIP-associated protein, transcript variant X2"
XM_031515594.1	" E3 ubiquitin-protein ligase At1g63170, transcript variant X4"
XM_031515595.1	" uncharacterized LOC116187021, transcript variant X1"
XM_031515596.1	" uncharacterized LOC116187021, transcript variant X2"
XM_031515597.1	" uncharacterized LOC116187021, transcript variant X3"
XM_031515598.1	 abscisic acid receptor PYL4-like
XM_031515599.1	 amino acid permease 3-like
XM_031515600.1	 ethylene-responsive transcription factor TINY-like
XM_031515601.1	" peptidyl-prolyl cis-trans isomerase FKBP16-3, chloroplastic-like"
XM_031515602.1	" E3 ubiquitin-protein ligase At1g63170, transcript variant X5"
XM_031515603.1	" protein SAR DEFICIENT 1-like, transcript variant X1"
XM_031515604.1	" protein SAR DEFICIENT 1-like, transcript variant X3"
XM_031515605.1	" protein SAR DEFICIENT 1-like, transcript variant X4"
XM_031515606.1	" DNA-directed RNA polymerase V subunit 1, transcript variant X1"
XM_031515607.1	" DNA-directed RNA polymerase V subunit 1, transcript variant X2"
XM_031515608.1	 LOB domain-containing protein 41-like
XM_031515609.1	" zinc finger BED domain-containing protein RICESLEEPER 2-like, transcript variant X1"
XM_031515610.1	" zinc finger BED domain-containing protein RICESLEEPER 2-like, transcript variant X2"
XM_031515611.1	 U-box domain-containing protein 33-like
XM_031515612.1	 uncharacterized LOC116187033
XM_031515613.1	 probable galacturonosyltransferase 7
XM_031515614.1	 pectinesterase inhibitor 3
XM_031515615.1	 sodium transporter HKT1
XM_031515616.1	 transcription factor MYB54
XM_031515617.1	 uncharacterized LOC116187038
XM_031515618.1	 inactive leucine-rich repeat receptor-like serine/threonine-protein kinase At1g60630
XM_031515619.1	" TIMELESS-interacting protein, transcript variant X1"
XM_031515620.1	" TIMELESS-interacting protein, transcript variant X2"
