"gene_id","GO_ids"
"LOC116209163","GO:0006869; GO:0008289"
"LOC116200065","GO:0006869; GO:0008289"
"LOC116200037","GO:0006869; GO:0008289"
"LOC116196157","GO:0009058; GO:0016747"
"LOC116201161","GO:0004502; GO:0046872; GO:0051213"
"LOC116201033",""
"LOC116195690",""
"LOC116200028","GO:0003824"
"LOC116212429","GO:0009637; GO:0009881; GO:0018298"
"LOC116210831","GO:0004672; GO:0005524; GO:0009882; GO:0018298"
"LOC116188767","GO:0009881; GO:0016567; GO:0018298; GO:0048511; GO:0050896"
"LOC116193213","GO:0005737"
"LOC116210727","GO:0003677; GO:0003700; GO:0005634; GO:0009873"
"LOC116189335","GO:0016829; GO:0017009"
"LOC116215499","GO:0000786; GO:0003677; GO:0005634; GO:0006334"
"LOC116214864",""
"LOC116215713","GO:0003677; GO:0003700; GO:0005634; GO:0099402"
"LOC116213639","GO:0016021; GO:0022857"
"LOC116213670","GO:0004674; GO:0005524"
"LOC116215297","GO:0005794; GO:0007030; GO:0016021"
"LOC116213041","GO:0005509; GO:0019722"
"LOC116212955","GO:0047834"
"LOC116214916",""
"LOC116212789","GO:0004842"
"LOC116212795",""
"LOC116215337","GO:0016021"
"LOC116215204","GO:0003677"
"LOC116212686",""
"LOC116215357","GO:0000349; GO:0046872; GO:0071006"
"LOC116212791",""
"LOC116214698",""
"LOC116213031","GO:0000981; GO:0003677; GO:0005634; GO:0008289"
"LOC116212647","GO:0016021; GO:0046872"
"LOC116214925","GO:0016021; GO:0016301"
"LOC116214256",""
"LOC116213691","GO:0006355"
"LOC116215359",""
"LOC116212781",""
"LOC116213678","GO:0005737; GO:0008146"
"LOC116212625","GO:0003735; GO:0005840; GO:0006412"
"LOC116212925","GO:0005634; GO:0006270; GO:0007049; GO:0051301"
"LOC116212687","GO:0004861; GO:0005654"
"LOC116213214","GO:0016021; GO:0022857"
"LOC116215317","GO:0000160"
"LOC116212676","GO:0016788"
"LOC116213638","GO:0016021; GO:0022857"
"LOC116215410","GO:0003735; GO:0005829; GO:0006412; GO:0015934"
"LOC116214774",""
"LOC116212732","GO:0006808; GO:0030234"
"LOC116213485","GO:0006886"
"LOC116213302","GO:0003700; GO:0005634; GO:0043565"
"LOC116214313","GO:0005737"
"LOC116213969",""
"LOC116213352","GO:0005484; GO:0015031; GO:0031201"
"LOC116212806","GO:0005737"
"LOC116213059","GO:0003677"
"LOC116215086","GO:0008270"
"LOC116214843","GO:0048046"
"LOC116214903","GO:0009734; GO:0016021; GO:0055085; GO:0060918"
